what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542634622060
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1542634622914
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542634625873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634644613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634651569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634653008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634664951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634666930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634747329
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542634787431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634806955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634808242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1542634808785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1542634809778
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1542634812398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542634814202
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542634906532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634911002
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542634913140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634913156
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542634914511
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1542634915629
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [5-2]', --device=1, --instance=0, --stop] return code: 2, no processors found",1542634916491
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [5-2]', --device=1, --instance=0, --go, /home/aluno/Problema2/software/ProblemaMQTT/ProblemaMQTT.elf] return code: 2, no processors found",1542634917954
error,log,,,"Downloading ELF Process failed",1542634917979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634918166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634920178
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542634921323
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542634924598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634930031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634941824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634944660
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542634945892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542634945908
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542634947282
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1542634948186
