what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1542805121343
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542805122387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1542805124605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542805125062
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542805129750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805138714
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542805153993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805154008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805155731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805157067
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542805157863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1542805159550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542805160219
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542805161202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805163036
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542805164639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805164657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805166382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805168250
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542805172135
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1542805177742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542805178600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1542805182795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542805183330
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1542805197051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542805197593
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542805198832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805203311
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542805206036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542805206053
