what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1542629071965
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1542629071966
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1542629071966
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1542629071968
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1542629071969
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1542629071970
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1542629071971
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1542629071971
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1542629071972
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1542629071973
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1542629071973
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1542629071974
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1542629071974
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1542629071974
os,sysinfo,,,"linux",1542629071980
arch,sysinfo,,,"x86",1542629071980
ws,sysinfo,,,"gtk",1542629071980
locale,sysinfo,,,"en_US",1542629071980
processors,sysinfo,,,"2",1542629071980
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1542629071980
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1542629071980
java.specification.name,sysinfo,,,"Java Platform API Specification",1542629071980
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1542629071980
java.specification.version,sysinfo,,,"1.6",1542629071980
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1542629071980
java.version,sysinfo,,,"1.6.0_23",1542629071980
java.vm.info,sysinfo,,,"mixed mode",1542629071980
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1542629071980
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1542629071980
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1542629071980
java.vm.specification.version,sysinfo,,,"1.0",1542629071980
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1542629071980
java.vm.version,sysinfo,,,"19.0-b09",1542629071980
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1542629072890
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1542629073076
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542629075742
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1542629075744
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542629076807
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1542629077000
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1542629077572
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1542629077579
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1542629077954
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1542629078001
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1542629078143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629082627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629083913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629085180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629097481
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1542629106754
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1542629106766
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1542629106769
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1542629106772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629106874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629113851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629116959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629131321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629131981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629133919
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1542629135896
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1542629135905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629137032
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542629138462
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1542629138483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629138496
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542629140419
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1542629140897
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1542629140933
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542629144373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629173315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629210415
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542629213146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629225008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629227558
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542629234680
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1542629234702
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542629234940
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542629234986
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1542629236161
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1542629236460
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542629240947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542629255723
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542629256725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629258892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629260622
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542629263496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542629273596
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542629290451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629292541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1542629297788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629297807
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542629305858
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1542629326626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542629327165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1542629357269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1542629358163
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1542629359917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542629360318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542629363292
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542629365523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629368870
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542629370895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629370911
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542629372291
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1542629373106
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542629375995
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542629390077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542629393543
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542629396059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629398390
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542629401061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629401075
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542629402399
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1542629404269
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542629407182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629434311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629674951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629677261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629791128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629802120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630019408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630029424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630038296
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1542630040131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1542630041855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542630054555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630055102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630157751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630174413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630263862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630275853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630279368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1542630292427
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542630314033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542630318548
